	L	s	dL	gs	utility
374	2.8	0.4	2.6645352591003757e-15	0.12	253.98476794579662
375	2.8	0.44	1.2000000000000037	0.2	260.226812953311
376	2.8	0.48	3.800000000000006	0.24	266.4688579608254
377	2.8	0.52	4.200000000000006	0.24	272.71090296833984
378	2.8	0.56	4.200000000000006	0.24	278.9529479758542
379	2.8	0.6	4.200000000000006	0.24	285.1949929833686
380	2.8	0.64	4.200000000000006	0.24	291.437037990883
381	2.8	0.68	4.200000000000006	0.24	297.6790829983974
382	2.8	0.72	4.200000000000006	0.24	303.9211280059118
383	2.8	0.76	4.200000000000006	0.24	310.1631730134262
384	2.8	0.8	4.200000000000006	0.24	316.4052180209406
385	2.8	0.84	4.200000000000006	0.24	316.4052180209406
386	2.8	0.88	4.200000000000006	0.24	316.4052180209406
387	2.8	0.92	4.200000000000006	0.36	316.4052180209406
388	2.8	0.96	4.200000000000006	0.44	316.4052180209406
389	2.8	1.0	4.200000000000006	0.56	316.4052180209406
390	3.0	0.0	-3.0	0.0	74.08184037957481
391	3.0	0.04	2.6645352591003757e-15	0.12	93.4379244596953
392	3.0	0.08	2.6645352591003757e-15	0.12	112.79400853981576
393	3.0	0.12	2.6645352591003757e-15	0.12	132.15009261993623
394	3.0	0.16	2.6645352591003757e-15	0.12	151.50617670005673
395	3.0	0.2	2.6645352591003757e-15	0.12	170.86226078017722
396	3.0	0.24	2.6645352591003757e-15	0.12	190.2183448602977
397	3.0	0.28	2.6645352591003757e-15	0.12	209.57442894041816
398	3.0	0.32	2.6645352591003757e-15	0.12	228.93051302053863
399	3.0	0.36	2.6645352591003757e-15	0.12	248.2865971006591
400	3.0	0.4	2.6645352591003757e-15	0.12	267.6426811807796
401	3.0	0.44	1.0000000000000036	0.2	274.1073702985969
402	3.0	0.48	3.600000000000006	0.24	280.57205941641416
403	3.0	0.52	4.000000000000006	0.24	287.03674853423144
404	3.0	0.56	4.000000000000006	0.24	293.5014376520487
405	3.0	0.6	4.000000000000006	0.24	299.966126769866
406	3.0	0.64	4.000000000000006	0.24	306.43081588768325
407	3.0	0.68	4.000000000000006	0.24	312.8955050055005
408	3.0	0.72	4.000000000000006	0.24	319.3601941233178
409	3.0	0.76	4.000000000000006	0.24	325.82488324113507
410	3.0	0.8	4.000000000000006	0.24	332.28957235895234
411	3.0	0.84	4.000000000000006	0.24	332.28957235895234
412	3.0	0.88	4.000000000000006	0.24	332.28957235895234
413	3.0	0.92	4.000000000000006	0.36	332.28957235895234
414	3.0	0.96	4.000000000000006	0.44	332.28957235895234
415	3.0	1.0	4.000000000000006	0.56	332.28957235895234
416	3.2	0.0	-3.2	0.0	77.74343383139512
417	3.2	0.04	2.6645352591003757e-15	0.12	98.06582061139933
418	3.2	0.08	2.6645352591003757e-15	0.12	118.38820739140354
419	3.2	0.12	2.6645352591003757e-15	0.12	138.71059417140773
420	3.2	0.16	2.6645352591003757e-15	0.12	159.03298095141196
421	3.2	0.2	2.6645352591003757e-15	0.12	179.35536773141615
422	3.2	0.24	2.6645352591003757e-15	0.12	199.67775451142035
423	3.2	0.28	2.6645352591003757e-15	0.12	220.00014129142457
424	3.2	0.32	2.6645352591003757e-15	0.12	240.32252807142876
425	3.2	0.36	2.6645352591003757e-15	0.12	260.644914851433
426	3.2	0.4	2.6645352591003757e-15	0.12	280.9673016314372
427	3.2	0.44	0.8000000000000034	0.2	287.66756591625443
428	3.2	0.48	3.4000000000000057	0.24	294.3678302010717
429	3.2	0.52	3.800000000000006	0.24	301.06809448588893
430	3.2	0.56	3.800000000000006	0.24	307.7683587707062
431	3.2	0.6	3.800000000000006	0.24	314.46862305552344
432	3.2	0.64	3.800000000000006	0.24	321.1688873403407
433	3.2	0.68	3.800000000000006	0.24	327.86915162515794
434	3.2	0.72	3.800000000000006	0.24	334.5694159099752
435	3.2	0.76	3.800000000000006	0.24	341.26968019479244
436	3.2	0.8	3.800000000000006	0.24	347.9699444796097
437	3.2	0.84	3.800000000000006	0.24	347.9699444796097
438	3.2	0.88	3.800000000000006	0.24	347.9699444796097
439	3.2	0.92	3.800000000000006	0.36	347.9699444796097
440	3.2	0.96	3.800000000000006	0.44	347.9699444796097
441	3.2	1.0	3.800000000000006	0.56	347.9699444796097
442	3.4	0.0	-3.4	0.0	81.3326334813522
443	3.4	0.04	3.1086244689504383e-15	0.12	102.59669969530944
444	3.4	0.08	3.1086244689504383e-15	0.12	123.86076590926668
445	3.4	0.12	3.1086244689504383e-15	0.12	145.1248321232239
446	3.4	0.16	3.1086244689504383e-15	0.12	166.38889833718116
447	3.4	0.2	3.1086244689504383e-15	0.12	187.65296455113838
448	3.4	0.24	3.1086244689504383e-15	0.12	208.9170307650956
449	3.4	0.28	3.1086244689504383e-15	0.12	230.18109697905288
450	3.4	0.32	3.1086244689504383e-15	0.12	251.4451631930101
451	3.4	0.36	3.1086244689504383e-15	0.12	272.7092294069673
452	3.4	0.4	3.1086244689504383e-15	0.12	293.9732956209246
453	3.4	0.44	0.6000000000000036	0.2	300.92162134619105
454	3.4	0.48	3.6000000000000063	0.2	307.86994707145743
455	3.4	0.52	3.6000000000000063	0.24	314.8182727967239
456	3.4	0.56	3.6000000000000063	0.24	321.7665985219903
457	3.4	0.6	3.6000000000000063	0.24	328.7149242472567
458	3.4	0.64	3.6000000000000063	0.24	335.66324997252315
459	3.4	0.68	3.6000000000000063	0.24	342.6115756977896
460	3.4	0.72	3.6000000000000063	0.24	349.559901423056
